rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
26,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,39,341,"560549"
27,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",8,24,24,"560111"
28,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",28,30,8,"557146"
29,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",10,32,31,"546075"
30,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,34,332,"541325"
31,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",21,33,38,"539498"
32,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,25,115,"533642"
33,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",7,31,136,"532575"
34,"spotify:track:1K39ty6o1sHwwlZwO6a7wK","Taylor Swift","Wildest Dreams (Taylor's Version)","Taylor Swift",10,26,90,"532418"
35,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",13,35,62,"532259"
36,"spotify:track:0PAcdVzhPO4gq1Iym9ESnK","Morgan Wallen","Thinkin’ Bout Me","Big Loud Records / Mercury Records / Republic Records",7,37,248,"519443"
37,"spotify:track:45wMBGri1PORPjM9PwFfrS","Taylor Swift","Blank Space (Taylor's Version)","Taylor Swift",7,28,10,"512166"
38,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",7,40,2153,"512158"
39,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",3,43,877,"507581"
40,"spotify:track:56xHMIfQPoe0prrSi3BGhf","Olivia Rodrigo","Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",23,47,3,"507303"
41,"spotify:track:045ZeOHPIzhxxsm8bq5kyE","Taylor Swift","Out Of The Woods (Taylor's Version)","Taylor Swift",7,29,10,"491727"
42,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",24,52,442,"489355"
43,"spotify:track:3qQbCzHBycnDpGskqOWY0E","Eslabon Armado, Peso Pluma","Ella Baila Sola","DEL Records",1,42,234,"477207"
44,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",12,53,1169,"474762"
45,"spotify:track:1hR8BSuEqPCCZfv93zzzz9","Taylor Swift","Welcome To New York (Taylor's Version)","Taylor Swift",6,38,10,"462915"
46,"spotify:track:5W4kiM2cUYBJXKRudNyxjW","Morgan Wallen","You Proof","Big Loud Records / Mercury Records / Republic Records",7,50,542,"460961"
47,"spotify:track:3IX0yuEVvDbnqUwMBB3ouC","Olivia Rodrigo","bad idea right?","Olivia Rodrigo PS",1,51,87,"458484"
48,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",42,48,66,"449577"
49,"spotify:track:4vziJcnB2Qyi9o4nIRUeN7","The Beatles","Now And Then","UMC (Universal Music Catalogue)",24,41,4,"446693"
50,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",14,46,87,"446019"
